dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
E-CommereShippingData,TabDPT_GPU,7332,3667,0.3586423498569928,0.5053059277891403,0.026466071605682373,0.03192487359046936,0.6801199913024902,0.02263280190527439
Fitness_Club,TabDPT_GPU,1000,500,0.3147026199539969,0.47906973661146596,0.02076680213212967,0.056282445788383484,0.777999997138977,0.007865766994655132
GiveMeSomeCredit,TabDPT_GPU,100000,50000,0.0980161816331143,0.17770215496204714,0.003733847290277481,0.006151680368930101,0.9374200105667114,0.15227302280254662
HR_Analytics_Job_Change_of_Data_Scientists,TabDPT_GPU,12772,6386,0.2705462264822532,0.42559890191279043,0.01573336124420166,0.02030976116657257,0.7981522083282471,0.05594952800311148
Is-this-a-good-customer,TabDPT_GPU,1148,575,0.18925720253688302,0.3214543344197489,0.011339517310261726,0.019292987883090973,0.886956512928009,0.006682756822556257
Marketing_Campaign,TabDPT_GPU,1493,747,0.14372935959541,0.23477418137247438,0.017838746309280396,0.034225232899188995,0.9036144614219666,0.0066894590854644775
NATICUSdroid,TabDPT_GPU,4994,2497,0.07887027556629422,0.13694452322650855,0.004568018950521946,0.015779104083776474,0.9471365809440613,0.019655911019071937
bank-marketing,TabDPT_GPU,30140,15071,0.17201768942569798,0.30028290550892967,0.005599650088697672,0.007572608534246683,0.8937695026397705,0.05428013298660517
blood-transfusion-service-center,TabDPT_GPU,498,250,0.3036548015767916,0.48373105478446304,0.04289017990231514,0.07226985692977905,0.7960000038146973,0.0072043538093566895
churn,TabDPT_GPU,3333,1667,0.0676409080309412,0.1374696099954996,0.008496429771184921,0.013998175971210003,0.9604079127311707,0.012765903025865555
coil2000_insurance_policies,TabDPT_GPU,6548,3274,0.10717917999932056,0.20744254543363813,0.005572490394115448,0.006576748099178076,0.9407452940940857,0.01888454589061439
credit-g,TabDPT_GPU,666,334,0.3420095430499427,0.5117188016525465,0.02714426815509796,0.06394977122545242,0.727544903755188,0.007162458961829543
credit_card_clients_default,TabDPT_GPU,20000,10000,0.264530094615271,0.42205275073007414,0.006151662673801184,0.011000589467585087,0.8206999897956848,0.05790592706762254
customer_satisfaction_in_airline,TabDPT_GPU,86586,43294,0.054563113490348474,0.09130003100543779,0.003975961357355118,0.007119709625840187,0.9612648487091064,0.1331445979885757
diabetes,TabDPT_GPU,512,256,0.30789614190024345,0.46584852801760096,0.02293822541832924,0.0869063064455986,0.75390625,0.006689612986519933
hazelnut-spread-contaminant-detection,TabDPT_GPU,1600,800,0.06530805701552277,0.11904009429588289,0.007325466722249985,0.018176179379224777,0.9574999809265137,0.015292024007067084
heloc,TabDPT_GPU,6972,3487,0.3653281780956722,0.5457469239582314,0.009728550910949707,0.018396036699414253,0.7312876582145691,0.04418447008356452
in_vehicle_coupon_recommendation,TabDPT_GPU,8456,4228,0.33294272972322025,0.502173150952353,0.015352552756667137,0.01853516884148121,0.7528381943702698,0.0250702949706465
jm1,TabDPT_GPU,7256,3629,0.2543414228047579,0.40453658602248865,0.01161530613899231,0.018851714208722115,0.8236428499221802,0.020427291048690677
kddcup09_appetency,TabDPT_GPU,33333,16667,0.034450457579326736,0.08366400424565465,0.006813494488596916,0.0032300702296197414,0.9821803569793701,0.14235889492556453
online_shoppers_intention,TabDPT_GPU,8220,4110,0.14240170902383434,0.2326636151008019,0.008953937329351902,0.0184983778744936,0.899756669998169,0.01585701503790915
polish_companies_bankruptcy,TabDPT_GPU,3940,1970,0.030953108478436728,0.06483848698929713,0.007188820745795965,0.013220974244177341,0.9796954393386841,0.010512249078601599
qsar-biodeg,TabDPT_GPU,702,352,0.17689082525027644,0.2999206594001898,0.02540910430252552,0.05518672987818718,0.8835227489471436,0.0056009970139712095
seismic-bumps,TabDPT_GPU,1722,862,0.10848081149213774,0.20223488256499714,0.010929022915661335,0.013519675470888615,0.9338747262954712,0.007199971936643124
taiwanese_bankruptcy_prediction,TabDPT_GPU,4546,2273,0.04338176438334972,0.08243353513749731,0.009127470664680004,0.013195795007050037,0.9722833037376404,0.01573624718002975
