dataset,model,cal_size,test_size,Platt-probs_brier,Platt-probs_logloss,Platt-probs_kuiper,Platt-probs_ece-15,Platt-probs_accuracy,Platt-probs_time
c10,densenet40,5000,10000,0.02059550455518202,0.051031417526671896,0.005769364070147276,0.002456048270687461,0.9887999892234802,0.02124607004225254
c10,lenet5,5000,10000,0.07834143418519622,0.14747060830417405,0.015501721762120724,0.028059471398591995,0.9491000175476074,0.01681259903125465
c10,resnet_wide32,5000,10000,0.01361042486137377,0.036410998937221946,0.003618042916059494,0.003117556218057871,0.9923999905586243,0.014970914926379919
c10,resnet110,5000,10000,0.017943441862204604,0.04632512413031082,0.004211408086121082,0.002643452025949955,0.9905999898910522,0.024224518099799752
c10,resnet110_SD,5000,10000,0.016072411667062622,0.03989175336803589,0.005498666316270828,0.0034741421695798635,0.991100013256073,0.026411342900246382
breast,beit,78,156,0.30224431106730504,0.4729659676488853,0.06495743989944458,0.04330942779779434,0.8012820482254028,0.009281795006245375
breast,convnext,78,156,0.20746039805312783,0.3545771266061541,0.06115436181426048,0.03828958421945572,0.8782051205635071,0.007225845009088516
breast,resnet50,78,156,0.21717731902485118,0.38869638093694664,0.06695856153964996,0.04337887465953827,0.8782051205635071,0.007322215940803289
breast,vit,78,156,0.2829823596554799,0.45216553832912865,0.03812098503112793,0.04908157140016556,0.8269230723381042,0.007187154842540622
pneumonia,beit,524,624,0.27825622636969133,0.48197906600110546,0.12956386804580688,0.13095535337924957,0.8381410241127014,0.008138432167470455
pneumonia,convnext,524,624,0.19059571507581838,0.4471265784705415,0.10044479370117188,0.10207249969244003,0.9006410241127014,0.010901622008532286
pneumonia,resnet50,524,624,0.18319509408231885,0.3970279690303838,0.09220016002655029,0.09238934516906738,0.9022436141967773,0.012146746972575784
pneumonia,vit,524,624,0.29193849279543255,0.5059612456318089,0.1316772699356079,0.1311502754688263,0.8301281929016113,0.007670353166759014
