dataset,model,cal_size,test_size,n_classes,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
connect-4,XGBoost,60801,6756,3,0.1805832580147909,0.3417914136563273,0.020949039608240128,0.8715215921401978,0.01341961300931871
dilbert,CatBoost,9000,1000,5,0.024063808887722048,0.1114837364006002,0.008352390490472317,0.984000027179718,0.005103705916553736
dilbert,ExtraTrees,9000,1000,5,0.03928511057961627,0.08289803068919946,0.01270462665706873,0.9760000109672546,0.0052108189556747675
dilbert,LightGBM,9000,1000,5,0.010695251063640204,0.2193425997419353,0.004424906801432371,0.9940000176429749,0.005020216107368469
dilbert,LinearModel,9000,1000,5,0.0914676035317512,0.20730190351907987,0.014197558164596558,0.9380000233650208,0.00524014001712203
dilbert,NeuralNetFastAI,9000,1000,5,0.020252917244159806,0.05014918126219949,0.005516005679965019,0.9850000143051147,0.0050040308851748705
dilbert,NeuralNetTorch,9000,1000,5,0.013204154801634886,0.028819088321442417,0.010752175003290176,0.9879999756813049,0.005055260844528675
dilbert,RandomForest,9000,1000,5,0.0636195754531369,0.12652835507816332,0.015333257615566254,0.9549999833106995,0.005254572024568915
dilbert,XGBoost,9000,1000,5,0.020241562464265037,0.0512623052755268,0.007926622405648232,0.9869999885559082,0.005021476885303855
dna,CatBoost,2867,319,3,0.059822779853729156,0.11886077324159298,0.026288483291864395,0.9498432874679565,0.0019931099377572536
dna,ExtraTrees,2867,319,3,0.07875093988460839,0.1595550357574241,0.020562192425131798,0.9498432874679565,0.002014633035287261
dna,LightGBM,2867,319,3,0.07062351010986546,0.1328285349528483,0.02626500278711319,0.9561128616333008,0.0019950848072767258
dna,LinearModel,2867,319,3,0.12488870707982909,0.269491628870195,0.011494847945868969,0.9278996586799622,0.001998146064579487
dna,NeuralNetFastAI,2867,319,3,0.07998963479222194,0.16519849406348,0.023086274042725563,0.9435736536979675,0.0019897520542144775
dna,NeuralNetTorch,2867,319,3,0.08554825866309733,0.17158375802066453,0.011560367420315742,0.9404388666152954,0.002033913042396307
dna,RandomForest,2867,319,3,0.09315026566733609,0.17912079040813564,0.02188926376402378,0.9404388666152954,0.0020094539504498243
dna,XGBoost,2867,319,3,0.06295698422395438,0.13065105991502948,0.020226994529366493,0.962382435798645,0.0019762800075113773
eucalyptus,CatBoost,662,74,5,0.4209137646122293,0.7132939012176557,0.15862128138542175,0.662162184715271,0.0023128539323806763
eucalyptus,ExtraTrees,662,74,5,0.3770603350332484,0.6494263129382627,0.08987243473529816,0.6756756901741028,0.0022973709274083376
eucalyptus,LightGBM,662,74,5,0.38034810399375996,0.6509050426811753,0.10205678641796112,0.6891891956329346,0.002290843054652214
eucalyptus,LinearModel,662,74,5,0.46270767261703927,0.859572595008637,0.10132157802581787,0.6216216087341309,0.002275755861774087
eucalyptus,NeuralNetFastAI,662,74,5,0.41139138827177496,0.6934441814392636,0.07597001641988754,0.6756756901741028,0.002285052090883255
eucalyptus,NeuralNetTorch,662,74,5,0.42115982662456336,0.6640409784261069,0.09851717203855515,0.6486486196517944,0.002324633067473769
eucalyptus,RandomForest,662,74,5,0.4093609206296522,1.5876946877826115,0.08660143613815308,0.662162184715271,0.002289945026859641
eucalyptus,XGBoost,662,74,5,0.41365088448960285,0.7399073945452997,0.10006211698055267,0.6756756901741028,0.0022750201169401407
eye_movements,CatBoost,9842,1094,3,0.3537472288949884,0.6078362650238933,0.033805519342422485,0.7330895662307739,0.0037039199378341436
eye_movements,ExtraTrees,9842,1094,3,0.3205777124208554,0.5476476611929953,0.04076095297932625,0.7696526646614075,0.0037062340416014194
eye_movements,LightGBM,9842,1094,3,0.27920100790185914,0.4956522256850935,0.0301736518740654,0.809872031211853,0.0036438440438359976
eye_movements,LinearModel,9842,1094,3,0.5690863870428352,0.989634080864578,0.025771237909793854,0.5073125958442688,0.003693286096677184
eye_movements,NeuralNetFastAI,9842,1094,3,0.43604427072806845,0.7295007926630769,0.046747978776693344,0.6773309111595154,0.0036709739360958338
eye_movements,NeuralNetTorch,9842,1094,3,0.4186227032497661,0.7057116419487259,0.05679922178387642,0.6864716410636902,0.0037475789431482553
eye_movements,RandomForest,9842,1094,3,0.3819171967948334,0.6460149459834296,0.03399202972650528,0.7148080468177795,0.0036615098360925913
eye_movements,XGBoost,9842,1094,3,0.31943824113391023,0.5606114164967466,0.03330251947045326,0.7723948955535889,0.0036779700312763453
fabert,CatBoost,7413,824,7,0.35698656771670867,0.7602523820369036,0.060452960431575775,0.7342233061790466,0.00641773990355432
fabert,ExtraTrees,7413,824,7,0.3753092079662298,0.7832799790023786,0.06288163363933563,0.7038834691047668,0.006367431953549385
fabert,LightGBM,7413,824,7,0.3628985175046784,0.7570689529749242,0.07979845255613327,0.7148058414459229,0.006398441968485713
fabert,LinearModel,7413,824,7,0.49843047100110416,1.0749555407434128,0.08997362852096558,0.625,0.00640898896381259
fabert,NeuralNetFastAI,7413,824,7,0.3981103861318453,0.8588897215366087,0.06763540208339691,0.719660222530365,0.006345205008983612
fabert,NeuralNetTorch,7413,824,7,0.41614642332252455,0.861313008694053,0.07798753678798676,0.7063106894493103,0.006396255921572447
fabert,RandomForest,7413,824,7,0.3862637090766634,0.808859991703449,0.050883691757917404,0.7038834691047668,0.006366313900798559
fabert,XGBoost,7413,824,7,0.36499595580225735,0.7843476306648262,0.06702645868062973,0.7330096960067749,0.006420134101063013
